reviewer_name,review_time,star_rating,headline,review_content,experience_time
Caryn Bailey,2025-02-28T19:40:02.000Z,Rated 1 out of 5 stars,No DEI,No DEI. No dollars.💵 🤨,"February 28, 2025"
Big D Animations,2025-02-28T04:05:21.000Z,Rated 1 out of 5 stars,I will never shop at walmart again,I will never shop at walmart again! You losers are Not for diversity. You stand with a wanna be dictator! You suspend DEI. I hope that your shelves become bare and you go into bankruptcy asap! ,"February 26, 2025"
Marguerite Starr,2025-02-28T03:40:33.000Z,Rated 1 out of 5 stars,We Used to Like You but No More!,My daughter and I loved going to walmart especially during the pandemic because the store was clean and they followed protocols. I loved that the store had Pride department and I could always find something I need. No more will I shop at walmart. You got ride of DEI and so you have gotten rid of me and all the other shoppers that support this. My go to from now on will be Costco or a local shop in my town.,"February 01, 2025"
Rodney Warnick,2025-02-27T22:41:53.000Z,Rated 1 out of 5 stars,I did a bit of shopping before…,"I did a bit of shopping before Christmas, you'll never see me again.","December 21, 2024"
B Wegman,2025-02-27T12:27:41.000Z,Rated 1 out of 5 stars,I am a life long walmart shopper,"I am a life long walmart shopper. I grew up down the street from one in my midwestern town but I will never shop there again. When a company capitulates so quickly to Trump’s racist, bigoted idea of America and cancels all DEI protections, they never believed in them in the first place. Shame on you walmart. You’ve lost my business for life. ","February 27, 2025"
Margaret Reichenberg,2025-02-27T07:10:05.000Z,Rated 1 out of 5 stars,Horrible Customer Service for Fraudulent Online Purchase,"I was the victim of a fraudulent online purchase.  I called the company to report it as soon as I read the email saying a purchase had been made on my account.  While a rep did answer, I was told the order could not be cancelled because it was preparing to ship and to call back when I had tracking   Information (call 1).  I called back as soon as I got FedEx confirmation and was then told that wasn’t good enough because only a label had been created and to call back when FedEx had package (call 2).  I called back when FedEx emailed they had received the package and was told that wasn’t good enough and to call back when package was on the way (call 3).  I called back when package was on the way and was then told a supervisor had to start the process to contact FedEx to cancel shipment but no supervisor was on duty so to call back the next morning (call 4).  ","February 26, 2025"
Ben Davis,2025-02-27T05:32:44.000Z,Rated 1 out of 5 stars,This review is about walmart Corporate,"This review is about walmart Corporate. walmart was mine and my daughter's ""go-to"" store ALWAYS. That has changed since walmart corporate decided to end DEI. Many of us actually know about DEI and why it exists. For walmart to bend the knee to the self professed ""King"" is disappointing. I know they hope that people will not understand what kind of stance they are taking, or that they are helping take away rights from from people by capitulating to that disgusting criminal.","February 26, 2025"
Trent Lowe,2025-02-27T04:29:13.000Z,Rated 1 out of 5 stars,Never Again,Never Again! The estimated shipping and arrival date offered when ordering at walmart online is not accurate whatsoever. Save your time in order at Amazon.,"February 26, 2025"
Jennie T,2025-02-27T03:18:47.000Z,Rated 1 out of 5 stars,"Was once great, then they canned DEI","I have been a walmart customer for years given I live in a rural place and we only have so many options. I even worked for walmart for a time in my teens. Their investment in DEI was important and with the recent ejection of those policies, I am beyond disappointed. I am frankly, outraged. They made a terrible choice and as a result, I and all I know in my community will not spend a penny in their store until it is resolved. Shame on walmart. ","January 24, 2025"
Stephanie C,2025-02-27T01:43:37.000Z,Rated 1 out of 5 stars,Would not accept my return,Would not accept my return. I was FORCED to establish an account for an online order (gift card). I deleted it immediately after placing the order due to anti-DEI actions. I am unable to access my receipt due to account cancelation.  They will not accept my return!! I refuse to provide them my drivers license due to potential for data compromise. ,"February 26, 2025"
Traveling Ram BLACK Traveling,2025-02-27T00:46:27.000Z,Rated 1 out of 5 stars,I just recently started shopping at…,"I just recently started shopping at walmart in the last year or so and I really enjoyed browsing everytime I go outta town on vacation but since the DEI drama, I’m done with them. They promote all things PRIDE but are refusing fairiness in all other areas! That makes ZERO SENSE! I’ll take my money and spend somewhere else!","February 26, 2025"
Jeffrey Rodgers,2025-02-26T22:42:56.000Z,Rated 1 out of 5 stars,Horrible experience trying to buy gift…,"Horrible experience trying to buy gift card for nephew.  Kept decline for no particular reason and when called just told me to try again.  When I di just kept declining, called my card issuer to see if was an issue on my end which my issuer assured me there was nothing wrong with my card.  walmart completelt unresponsive and said will be reviewed by ""management"".  No response received from ""management"".","February 26, 2025"
Kinsley Winn,2025-02-26T19:50:03.000Z,Rated 1 out of 5 stars,Loyal walmart customer no mire! ,I have been a loyal walmart shopper for years. I even have a walmart debit card I opened in 2013 and use often for the discount and for free two day shipping. I probably bought a big order from walmart at least 1-2 times a month. But walmart’s recent roll back on DEI initiatives influenced me to no longer shop there and shift my spending elsewhere. It is so hypocritical to me walmart tries to profit so much during Pride month but you remove your DEI policy? Yeah won’t be spending my money here anymore! ,"February 14, 2025"
DC,2025-02-26T14:26:28.000Z,Rated 1 out of 5 stars,Keep your 5% discount since you favor the 1%,"Incredibly disappointed that walmart embraced DEI “when it was cool” then immediately changed course with the new administration. I had already considered the measly 5% red card discount barely a justification for having the credit line and shopping at walmart, but your corporate alignment with the 1% in this country sure does negate any perceived benefit from being a walmart customer and red card holder. ","February 26, 2025"
Jules Stone,2025-02-26T05:49:08.000Z,Rated 1 out of 5 stars,Reinstate DEI,"Until you stop caving into the facist demands, I will no longer shop there. Reinstate DEI!","February 25, 2025"
josh marlow,2025-02-26T02:22:57.000Z,Rated 1 out of 5 stars,Just saw a video very disturbing that…,Just saw a video very disturbing that walmart employee called the cops on a special needs person cause he was taking to slow to buy a bike.and cops did hobbile things to him.i haven't been to a walmart in years and will definitely never go again plus it's a very WOKE company ,"February 25, 2025"
LindaMay Vierra,2025-02-26T01:24:09.000Z,Rated 1 out of 5 stars,No longer inclusive,No longer inclusive. ,"February 25, 2025"
Lilly Anne Stephens,2025-02-25T20:41:28.000Z,Rated 5 out of 5 stars,I love walmart with all of my heart but,"I love walmart with all of my heart but, they are kinda expensive. Everything else is wonderful every time I go there for something they always have it. ","February 25, 2025"
Sharon Baker,2025-02-25T20:35:55.000Z,Rated 1 out of 5 stars,I will never shop at walmart again DEI,"I will never shop at walmart again DEI, they need us we don't need them & we going show just that watch us. You played with the color of people.","February 25, 2025"
Jennifer Todd,2025-02-25T17:24:41.000Z,Rated 1 out of 5 stars,walmart sided with a dictator over the people,"I have been a longtime faithful customer of walmart. I always joked with my husband that if I ran to walmart for one thing I would come home with a cart full. I also bought from walmart online quite a bit. Not.Any.More. I canceled my credit card. I moved all my prescriptions out of the CVS that is INSIDE the walmart just so I won't have to walk into that store ever...again. Your company is now compromised. You have capitulated to the whims of a dictator thus you have sided AGAINST the people and the people will vote with their $$. Goodbye walmart. Your prices were getting too high, your stores were getting to be absolute trash, and the customer service had become not just bad but hostile. Buh-bye.","February 25, 2025"
tonja Blackmon,2025-02-25T17:23:50.000Z,Rated 1 out of 5 stars,I never will shop walmart again,"I never will shop walmart again. Horribly customer service, dirty floors, smells and prices too high. I will take my business to Costco‘s from now on ","February 01, 2025"
Taylo & Bo,2025-02-25T15:26:12.000Z,Rated 1 out of 5 stars,And just like that,"And just like that, walmart is a thing of the past. I will see it, and don't see it as I pass looking for elsewhere to spend my money. walmart doesn't need my dollars it doesn't stand for diversity, equity nor inclusion.","December 31, 2024"
Thomas Cooper,2025-02-25T11:54:51.000Z,Rated 1 out of 5 stars,Code of Ethics is that they don't have any,I won't shop anywhere that honors bigotry and hate. ,"February 25, 2025"
Shalonda Jones,2025-02-25T08:33:08.000Z,Rated 1 out of 5 stars,If I can put a 0 instead of a 1star I…,If I can put a 0 instead of a 1star I would over the DEI so u have lost my money as well as my family ,"February 24, 2025"
Valerie Teachout,2025-02-25T04:51:55.000Z,Rated 1 out of 5 stars,Why I Will Never Shop at walmart Again,"I am extremely disappointed with walmart’s decision to scale back their DEI initiatives. As a loyal customer who has shopped there for years, I feel betrayed. walmart used to stand for inclusivity and equality, but this move signifies a shift away from those values. I will not continue to support a company that compromises its commitment to diversity. Therefore, I will stop shopping at walmart and encourage others to reconsider their support as well. It's disheartening to leave a brand I once trusted, but I will not support a company that turns its back on inclusion.","January 24, 2025"
Josue Sanchez,2025-02-25T01:43:38.000Z,Rated 1 out of 5 stars,Boycott walmart,"Boycott walmart. No DEI, no spine, then we also give them NO DOLLARS! ","February 24, 2025"
Heather Talbott,2025-02-24T13:00:08.000Z,Rated 1 out of 5 stars,You know what you did,You know what you did. And shame on all of you. Period.,"January 20, 2025"
Ashley Castro,2025-02-24T06:06:10.000Z,Rated 1 out of 5 stars,So Disappointed and Disgusted. Done.,"You, as a company should be so ashamed of yourselves. I will no longer shop with you guys due to your stance on DEI. Just plain wrong and sad. I can’t believe you all would stoop so low.","February 23, 2025"
Leah Campbell,2025-02-23T21:29:28.000Z,Rated 1 out of 5 stars,Done with walmart Since it's Done with DEI,"I just got back from visiting family. Normally, my niece and I go to walmart multiple times during my visits. One trip, we went multiple times in one day! ","February 15, 2025"
Elizabeth Jaenicke,2025-02-23T19:25:15.000Z,Rated 1 out of 5 stars,Boycott walmart ,You lost my money the instant you withdrew DEI initiatives. How dare you sell BIPOC and Queer designers and items and not support them. Big mistake. Huge. ,"February 01, 2025"
Joel,2025-02-23T15:15:38.000Z,Rated 1 out of 5 stars,I am so ANGRY about walmart’s pull back on DEI,"I am so unhappy about walmart’s pull back on DEI initiatives.  Not asking you to hire someone unqualified, but all deserve a level playing field and working environment. So take note, I stopped shopping at walmart because they did away with their DEI initiative. Prior to that, It was my go to store for many items, because I despise Wal-Mart. I am going to be joining  Costco and I'll be shopping local grocery stores and other family owned shops where equity is respected.  ","February 22, 2025"
Mrs. Howard,2025-02-23T14:27:55.000Z,Rated 1 out of 5 stars,walmart WILL FAFO ,walmart is not for everyone and they made it clear when the majority of their customers are DEI.  I will never shop at walmart again. I can't wait to go to Costco. ,"February 21, 2025"
charles Martin,2025-02-23T07:06:07.000Z,Rated 1 out of 5 stars,I went to walmart during the Christmas…,"I went to walmart during the Christmas Holiday could not find anything worth buying. However, since walmart don't want DEI people in your stores. We want come. Therefore, we will close it down. Walmart will be next.","December 19, 2024"
Valerie Mayfield,2025-02-23T06:29:22.000Z,Rated 1 out of 5 stars,Disappointed with walmart but never shop…,Disappointed with walmart but never shop there again. Take my money somewhere else where they care about dei and people ,"January 15, 2025"
Mark Williams,2025-02-22T23:45:36.000Z,Rated 1 out of 5 stars,I stopped shopping at walmart when they…,"I stopped shopping at walmart when they did away with their DEI initiative.  Prior to that, I was spending $500+ per month because I despise Wal-Mart.  I just joined Costco and I'll be shopping local grocery stores and other family owned shops.  I returned around $200 of merchandise to walmart this morning.  Luckily, I had the receipt. ","February 22, 2025"
Kelly Davis,2025-02-22T20:56:16.000Z,Rated 1 out of 5 stars,Really disappointed with their recent…,Really disappointed with their recent decisions related to DEI. We used to shop in person and online weekly. Haven't bought anything since they made those decisions. ,"February 22, 2025"
Elizabeth Chambers,2025-02-22T20:18:15.000Z,Rated 5 out of 5 stars,Exceptional Customer Service,"I had an exceptional experience retuning an item at customer service today.  I had ordered the item online and did not have the receipt  An employee ""Kathy""  went ""way over and above"" locating the item online and offered me a store credit since the item had no bar code and I did not have the walmart app on my phone to locate the item. Kathy could not have been any more helpful, courteous and friendly!!! Super experience!","February 22, 2025"
Ruthie's Succulent Obsession,2025-02-22T19:12:49.000Z,Rated 1 out of 5 stars,I'm so beyond disappointed in walmart…,"I'm so beyond disappointed in walmart for so quickly rolling back on their support to DEI. The second that they were allowed to remove the support and protections for the historically marginalized minorities, handicapped, women,and elderly they pulled DEI at the blink of an eye. I now choose to no longer use my purchasing power at stores, or for companies that do not support us. I stopped going to Walmart, walmart, no more Coke, Mcdonalds etc; I spent $715.00 at Costco the other day and, it didn't hurt so bad since I knew I was supporting a company that is fighting for our interests and not rolling over to the Oligarchy. ","February 10, 2025"
Sha Kno,2025-02-22T11:19:18.000Z,Rated 1 out of 5 stars,Well its a disappointment that walmart…,Well its a disappointment that walmart stepped away from their DEI initiatives. I have decided to step away from walmart. If marginalized individuals are not worth backing then that includes my dollar.  I shopped at walmart 99% of the time. I will no longer be doing so. My money will go to local shops. Peace ,"February 15, 2025"
Brian,2025-02-22T00:44:23.000Z,Rated 1 out of 5 stars,They stole $127 from me,They stole $127 from me.  I bought items they never shipped and refused a refund .  Said to contact my bank.  A terrible untrustworthy business,"February 21, 2025"
Susan InMichigan,2025-02-21T21:44:39.000Z,Rated 1 out of 5 stars,Fascists won’t get my money,My money will not go toward any person or entity capitulating to fascists. Shame on you. ,"February 21, 2025"
Karen Stipe,2025-02-21T18:33:34.000Z,Rated 1 out of 5 stars,I will no longer be shopping at walmart…,"I will no longer be shopping at walmart D/T the  diversity, equity, and inclusion policies that Trump has out in place. Also I will not be shopping at Bestbuy or Wallmart or Amazon !","February 20, 2025"
Jenna P,2025-02-21T18:25:45.000Z,Rated 1 out of 5 stars,Avid former walmart shopper,Avid former walmart shopper. Will be bringing my business elsewhere now. Not a sustainable or ethical business. ,"January 24, 2025"
Patrick Galager,2025-02-21T17:10:17.000Z,Rated 1 out of 5 stars,I’d give zero if I could,"I’d give zero if I could. No more money from my household spending budget goes to MAGA supporting walmart. With the tide and polls moving away from the orange buffoon, walmart should stand with their customers and not the illegality of the current administration. Very disappointed. My money, or lack of, will speak for me. ","February 21, 2025"
Ledasha Whatsherface,2025-02-21T09:43:57.000Z,Rated 1 out of 5 stars,It is so disappointing that walmart was…,"It is so disappointing that walmart was acting like they supported equitable treatment and dropped every single DEI initiative the second someone in government said they could. It's irresponsible and bad for Americans to support corporations who only act kind and caring because they're required to by law, because it means these people will turn on all of their employees  and communities at the drop of a hat the second there isn't a law against it. ","February 20, 2025"
DE,2025-02-21T03:09:07.000Z,Rated 1 out of 5 stars,"No spine, no integrity, no business","I was a faithful walmart customer, spending hundreds there every month on everything from food and pet supplies to home goods, candles and kitchenware. I will find online retailers for those items now or go to other locally owned businesses that don’t capitulate to dictatorial demands by a would-be fascist. Of all the retailers who went back on their DEI policies, you are the biggest disappointment. I feel utterly betrayed by you. I only respect people and businesses who stand up to bullies and do the right thing. You were the big box retailer we believed in and bragged about. Good luck with your new policy. It won’t serve you well. ","January 27, 2025"
Steven,2025-02-20T04:54:48.000Z,Rated 1 out of 5 stars,The roll back of DEI yet making money…,The roll back of DEI yet making money selling pride items is laughable. ,"February 19, 2025"
Shelly C,2025-02-19T13:40:02.000Z,Rated 1 out of 5 stars,One of the worst stores to shops.,One of the worst stores to shops. ,"February 19, 2025"
stealth fighter,2025-02-19T06:58:21.000Z,Rated 2 out of 5 stars,It shouldn't take 30 minutes to buy 1 item.  ,"I went to walmart this afternoon to get a large item at the Portland Oregon Jansen Beach location.  They had the item I was looking for but the service was terrible!  I'm disabled and I needed help getting the item in my cart, the 4 different call boxes I addressed  to get assistance didn't work, and there was no one in the electronics area working to help me lift the box into my cart.  A younger woman who saw me helped me after about 15 minutes trying to locate an employee for help.  When I went to the checkout, there was only one checker plus the self checkout.  Self checkout was open and there was a huge full cart in the checker line with about 50 items, I chose the self checkout.  My item was a Barbie house ($180.00), the bar code was not found said the register, and there was no employees anywhere to be seen except a checker on the one register.  At that point I decided to get in the line with the checker.  The checker was moving along awesomely considering the cart was over loaded with many small items, dishes and specity items that needed to be wrapped in paper, etc..  The checkout was frustrating especially when I noticed 3 employees laughing and huddled in conversation, as then I realized one of the employees was not attending to the self checkout area.  This is the reason why I couldn't find help in the self checkout, he was visiting with 2 women employees.  By then the self checkout had a long line and I was so surprised that a second checkout line wasn't opened.  Honestly I buy most everything online from walmart, and this is not my regular walmart store.  I'm happy that I was able to find the item I needed, but my experience to run in and out to get 1 item took about 30 minutes. Quite frustrating and understandable in most situations lacking staff I understand, but I won't be returning to this particular store since the employees seemed to be more interested in visiting than taking care of their job responsibilities.  ","February 18, 2025"
Doug Cannon,2025-02-19T01:52:09.000Z,Rated 1 out of 5 stars,walmart is truly a disappointment,"walmart is truly a disappointment. It has signaled it does not care about diversity, equity, or inclusion any longer. Rather, it cares more about appeasing a man with no integrity, no moral compass, and no compassion for the people who shop at its stores. walmart will never see another dollar from me.","February 18, 2025"
Ryan Joyce,2025-02-18T21:36:51.000Z,Rated 1 out of 5 stars,walmart is truly a disappointment.,"walmart is truly a disappointment.  It has signaled it does not care about diversity, equity, or inclusion any longer.  Rather, it cares more about appeasing a man with no integrity, no moral compass, and no compassion for the people who shop at its stores.  walmart will never see another dollar from me.  ","February 18, 2025"
Hanaa youssef,2025-02-17T18:35:28.000Z,Rated 1 out of 5 stars,Ridiculous,Ridiculous. I’ve my credit card for more than 8 years now and for only one time didn’t pay full amount they charged me interest . No wonder ppl close their accounts and stopped going to walmart. Btw phone customer service sucks too .,"February 17, 2025"
Chasey Malone,2025-02-17T04:13:12.000Z,Rated 1 out of 5 stars,U know why and u know y'all are dead…,U know why and u know y'all are dead wrong ,"February 16, 2025"
oona titan,2025-02-15T07:39:50.000Z,Rated 1 out of 5 stars,walmart,"walmart, I used to walk to your corner store everyday, a loyal customer EVERY day. You have not stood by your customers by supporting all types of people. We are all beautiful people here deserving of equal opportunity. How dare you, with such wealth, decide to spite your own employees and customers with this DEI drop. With all those funds you could be making this world a better more loving place, instead you’re promoting a modern society of selfish, racism wealth. Furthermore, your oreos  and hot Cheetos are nearly $7, making people pay as much as what a sandwich used to be for a measly snack that contains toxic red 40 and lord knows what else in it. Do better or simply fade into the background of everyone’s minds who has realized there are dozens of cheaper, friendlier, nicer stores that value their customers. ","January 15, 2025"
Golden,2025-02-15T06:16:03.000Z,Rated 5 out of 5 stars,Is this still available, ,Not found
Jose Fernandez de Castro,2025-02-14T15:13:15.000Z,Rated 2 out of 5 stars,Hell of a company,"Hell of a company, but they are selecting poorly rated parcel delivery services which represent them. Deliveries are no longer delivered to condo units, but to 1st floor mailbox area leaving packages more open to theft. I contacted walmart on this and unfortunately, they can't monitor delivery services that represent them. From now on, I'll order Amazon or walmart.","February 10, 2025"
Linda Doty,2025-02-14T06:57:58.000Z,Rated 1 out of 5 stars,Not a smart shipping choice!,I had a delivery that they put two 20 pound cat litters in with my 6 pack kleenex boxes and Kleenex boxes were crushed. I’m not sure why they thought putting 40 pounds in with Kleenex boxes was a good idea. ,"February 11, 2025"
Diego,2025-02-13T15:36:32.000Z,Rated 1 out of 5 stars,walmart treats their loyal customers like garbage!!!,"I placed an order containing just two Taylor Swift - The Eras Tour books in December hoping it would arrive but it got lost in transit and walmart refunded me. I used that money to place a second order and it got lost in transit again so walmart sent a replacement order. At first, I thought everything was okay until I recently found out that I can no longer place any online orders because walmart's system wrongly flagged me as a wholesaler (Mind you, I never received the two previous orders and I never ordered more than 1 or 2 copies of the same item). When I contacted walmart to get this issue fixed they kept lying to me and giving generic excuses to avoid doing their job so now I can no longer place any online orders because of a mistake that was caused by them and is not my fault.","February 12, 2025"
Jose Blanca,Not found,Rated 1 out of 5 stars,Our family won’t be store shopping or…,Our family won’t be store shopping or online shopping at this  place ever again. Stay out of politics and fix your own problems!,"February 11, 2025"
Radny Lawn,2025-02-13T01:28:43.000Z,Rated 1 out of 5 stars,Can’t Seem to Manage Accounts,"I tried to order towels exclusively offered by walmart online. I had an account so I tried to login, but my login was rejected. I tried to reset my password, but that was rejected. I was forced to call walmart to be able to access my account. The person I spoke to didn’t understand why I was calling. They tried three times to send me a link to be able to access my account and they all failed to come through. At that point I told them to delete my account. I decided I didn’t need to purchase anything from them ever again.","February 11, 2025"
HNB,2025-02-12T20:31:46.000Z,Rated 2 out of 5 stars,I love walmart with all my heart EXCEPT…,I love walmart with all my heart EXCEPT who they choose to work for them. I could go on and on about negative experiences but this particular problem is ordering online. I have to only believe that their employees are unhappy and they do crazy things on purpose. Half the time fragile things aren’t packed correctly. Half the time it’s an incorrect item and almost always the box and packaging material is outrageous. I ordered vitamins. ONE item came in a huge box! I wish I could provide a picture. It is absurd! Stop using such big boxes for tiny packages! It’s a waste! Put it in a small padded envelope or tiny box. Hoping someone at walmart corporate sees this,"February 12, 2025"
